Tool,Dataset,Summary,Test,Time (s),Paths,Completed,Comment
Binsec,DStrings,C,1-1,0.24,2,,
Binsec,DStrings,C,1-2,0.97,3,,
Binsec,DStrings,C,1-3,FAIL,,,
Binsec,DStrings,C,2-1,0.18,2,,
Binsec,DStrings,C,2-2,0.67,3,,
Binsec,DStrings,C,2-3,7.34,5,,
Binsec,DStrings,C,3,1.9,10,,
Binsec,DStrings,C,4-1,234,5,,[sse:warning] Cut path 1 (max depth) @ 0x00401414 (run with -sse-depth 1000000)
Binsec,DStrings,C,4-2,1789,4,1,"[sse:warning] Cut path 3 (max depth) @ 0x00404975 (and for some others, same)"
Binsec,DStrings,C,5-1,140.67,1023,,
Binsec,DStrings,C,5-2,760,1050,,
Binsec,DStrings,C,6,1220,1067058,,
AVD,DStrings,C,1-1,0.38,2,,
AVD,DStrings,C,1-2,4.23,3,,
AVD,DStrings,C,1-3,4.99,3,,
AVD,DStrings,C,2-1,0.33,2,,
AVD,DStrings,C,2-2,0.76,2,,
AVD,DStrings,C,2-3,13.62,3,,
AVD,DStrings,C,3,3.42,10,,
AVD,DStrings,C,4-1,1.6,10,,
AVD,DStrings,C,4-2,1.88,3,,
AVD,DStrings,C,5-1,0.72,5,,
AVD,DStrings,C,5-2,1.3,7,,
AVD,DStrings,C,6,TIMEOUT,22337,,
Binsec,DStrings,Concrete,1-1,0.09,10,,
Binsec,DStrings,Concrete,1-2,0.8,256,,
Binsec,DStrings,Concrete,1-3,38,256,,
Binsec,DStrings,Concrete,2-1,0.39,10,1,"[sse:error] Cut path 3 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Concrete,2-2,0.19,100,,[sse:error]  Assertion failed @ 0x00401a4f (<_assert>)
Binsec,DStrings,Concrete,2-3,372,65536,57344,[sse:error]  Assertion failed @ 0x00401a4f (<_assert>) (spam)
Binsec,DStrings,Concrete,3,53,27750,14240,"[sse:error] Cut path 2755 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Concrete,4-1,17037,14835726,,Interrupted this one
Binsec,DStrings,Concrete,4-2,5.19,8213,8204,"[sse:error] Cut path 3 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Concrete,5-1,24.55,24078,23041,"[sse:error] Cut path 2913 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Concrete,5-2,533,198838,197801,"[sse:error] Cut path 1807 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Concrete,6,13335,22209705,16236287,"[sse:error] Cut path 2855 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
AVD,DStrings,Concrete,1-1,0.6,10,,
AVD,DStrings,Concrete,1-2,103.405,256,,
AVD,DStrings,Concrete,1-3,404.18,256,,
AVD,DStrings,Concrete,2-1,0.87,10,,
AVD,DStrings,Concrete,2-2,13.99,100,,
AVD,DStrings,Concrete,2-3,TIMEOUT,1011,,
AVD,DStrings,Concrete,3,TIMEOUT,12700,,
AVD,DStrings,Concrete,4-1,TIMEOUT,30620,,
AVD,DStrings,Concrete,4-2,384,8204,,
AVD,DStrings,Concrete,5-1,TIMEOUT,22468,,
AVD,DStrings,Concrete,5-2,TIMEOUT,22995,,
AVD,DStrings,Concrete,6,TIMEOUT,28078,,
Binsec,DStrings,Native,1-1,0.13,10,,
Binsec,DStrings,Native,1-2,0.66,256,,
Binsec,DStrings,Native,1-3,37,256,,
Binsec,DStrings,Native,2-1,0.45,10,1,"[sse:error] Cut path 5 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Native,2-2,0.22,100,,[sse:error]  Assertion failed @ 0x004017c9 (<_assert>)
Binsec,DStrings,Native,2-3,278,65536,57344,[sse:error]  Assertion failed @ 0x00401a4f (<_assert>) (spam)
Binsec,DStrings,Native,3,123,1191,620,"[sse:error] Cut path 44 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Native,4-1,208.77,5420,,
Binsec,DStrings,Native,4-2,4.57,184,175,"[sse:error] Cut path 71 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Native,5-1,1.01,637,511,"[sse:error] Cut path 610 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Native,5-2,4.39,884,758,"[sse:error] Cut path 774 (uninterpreted ""syscall"") @ 0x7ffff7e3d737"
Binsec,DStrings,Native,6,2756,4553193,3327262,"[sse:error] Cut path 774 (uninterpreted ""syscall"") @ 0x7ffff7e3d737, also interrupted"
AVD,DStrings,Native,1-1,0.313,2,,
AVD,DStrings,Native,1-2,3.086,3,,
AVD,DStrings,Native,1-3,6.79,3,,
AVD,DStrings,Native,2-1,0.22,2,,
AVD,DStrings,Native,2-2,0.418,2,,
AVD,DStrings,Native,2-3,15.07,3,,
AVD,DStrings,Native,3,1.66,10,,
AVD,DStrings,Native,4-1,0.76,7,,
AVD,DStrings,Native,4-2,0.856,3,,
AVD,DStrings,Native,5-1,7.7,65,,
AVD,DStrings,Native,5-2,1.16,7,,
AVD,DStrings,Native,6,TIMEOUT,27624,,
